,Ratings,Title,Reviews,Likes,Dislikes,Date
387,5,Super!,"Very good product, worth for the price , ??READ MORE",0,0,17-01-2021
388,4,Value-for-money,The thickness is less... Lookwise good... Need to use and check the durabilityREAD MORE,0,0,17-01-2021
389,3,Highly recommended,Very nice product must buy....READ MORE,0,0,17-01-2021
390,5,Worth the money,Product is fine. It would have been better if height is little more.The shoes of the bed not found have to buy from market which spent 300 extra.READ MORE,0,0,17-01-2021
391,5,Excellent,Nice bed for the priceREAD MORE,0,0,17-01-2021
392,5,Highly recommended,GoodREAD MORE,0,0,17-01-2021
393,5,Simply awesome,Excellent product wrt Price. Useful for your home one time installation. May not be good who lives on rent or moves alot.READ MORE,0,0,17-01-2021
394,5,Worthless,Very poor product waste of moneyPoor support from FlipkartREAD MORE,0,0,17-01-2021
395,4,Very poor,"Low-quality material, skews are dislocated within a month.READ MORE",0,0,17-01-2021
396,5,Awesome,??Very nice product. Wood quality also very good. designing : staring to end finishing excellent. Installation quickly  finished. This product very worth. Thank to flipkart team??READ MORE,0,0,17-01-2021
397,4,Value-for-money,Installation done properly.READ MORE,0,0,17-01-2021
398,5,Wonderful,Owesume loved it ....READ MORE,0,0,17-01-2021
399,5,Worst experience ever! This is a very low-quality product,This is a very low-quality productdo not waste your monryREAD MORE,0,0,17-01-2021
400,5,Wonderful,No issue with the product. But before buying check for installation service. Product is still not installed by jeeves till today. Pathetic service.READ MORE,0,0,17-01-2021
401,5,Nice,Just ok... won't be disappointed with this.... grooves for fitting was made at inappropriate postion.READ MORE,0,0,17-01-2021
402,4,Excellent,Very very good bedREAD MORE,0,0,17-01-2021
403,5,Bad quality,Not goodREAD MORE,0,0,17-01-2021
404,4,Excellent,Very very nice productREAD MORE,0,0,17-01-2021
405,4,Perfect product!,I am very happy with the low priceREAD MORE,0,0,17-01-2021
406,3,Fair,According to price value average productREAD MORE,0,0,17-01-2021
407,5,Expected a better product,"After installing, the pieces are not sticking proper to each otherREAD MORE",0,0,17-01-2021
408,3,Good,Quality ok but good finishing.nice model.READ MORE,0,0,17-01-2021
409,5,Very poor,Not value for money.Fitting not compact.WorthlessREAD MORE,0,0,17-01-2021
410,5,Worth every penny,Its looks very nice.... comfortable one for familyREAD MORE,0,0,17-01-2021
411,4,Value-for-money,SuperREAD MORE,0,0,17-01-2021
412,4,Bad quality,We can't  able to  shift it one place  to  another  place  cost  to high  quality  is zeroREAD MORE,0,0,17-01-2021
413,5,Good,lookwise bed is looking good but quality below average as compare to competitive brand. service guys was in great hurry.READ MORE,0,0,17-01-2021
414,5,Brilliant,Highly recommendedREAD MORE,0,0,17-01-2021
415,4,Simply awesome,Very niceREAD MORE,0,0,17-01-2021
416,4,Terrific purchase,"Look is very good, installation guy was very helpful.. got a good deal so happy with price and product, I got product delivered and installed within 4 days so that was really great service from FlipkartREAD MORE",0,0,17-01-2021
417,5,Must buy!,Very niceREAD MORE,0,0,17-01-2021
418,3,Terrible product,Product is not good as mentioned in pictures and installation is very very poor. Service provider is not complete as committed date. And also it is non refundable so never buy this productREAD MORE,0,0,17-01-2021
419,5,Awesome,Great delivery good product and also durable product.READ MORE,0,0,17-01-2021
420,5,Worth every penny,Very niceREAD MORE,0,0,17-01-2021
421,4,Delightful,Some of the wood little bit damaged. overall very nice material and jeeves installation person fixed properly.READ MORE,0,0,17-01-2021
422,5,Bad quality,Worst qualityREAD MORE,0,0,17-01-2021
423,4,Good quality product,Product lfy is very less actually quality of product good but i think so this lfy not more than 5 yearsREAD MORE,0,0,17-01-2021
424,5,Slightly disappointed,Worst. Installation and quality is too too bad ....READ MORE,0,0,17-01-2021
425,5,Good,Nice in this range but some issue with design like base of storage is on floor no singal screw to tide up.READ MORE,0,0,17-01-2021
426,5,Value-for-money,Value for money.. I am happy with the product and installation.. Go for it..READ MORE,0,0,17-01-2021
427,5,Terrific purchase,Good for the priceREAD MORE,0,0,17-01-2021
428,4,Worth the money,Good productREAD MORE,0,0,17-01-2021
429,5,Mind-blowing purchase,Excellent.READ MORE,0,0,17-01-2021
430,5,Decent product,Not good. Manufacturer defect almost....READ MORE,0,0,17-01-2021
431,5,Expected a better product,There is no support  for the bottom of this bed ... The bed is directed attached to floor surface  so if you once adjust this bed you will not be able to clean tha surface ..And also you can not shift easily it from one place to an other place.All over products is good but tha problem i have already mentioned above ... Installation and flipkart service are good  ....And one more thing please choose size of bed according to the place available ..READ MORE,0,0,17-01-2021
432,4,Not recommended at all,"Never buy this product, very worst quality and not responsible installation persons,waste of money and time.READ MORE",0,0,17-01-2021
433,5,Does the job,Not really goodJust okayNot Worth the price though but yeah now  I have it so have to use itYou can buy it for maximum for 10k at any shop neaybyBut however I have to accept this product nowBut be careful when you order it check multiple times before you orderREAD MORE,0,0,17-01-2021
434,5,Mind-blowing purchase,Good product ??it's big oneREAD MORE,0,0,17-01-2021
435,3,Fabulous!,Value for moneyREAD MORE,0,0,17-01-2021
436,5,Good,It's nice but quality can be improved...READ MORE,0,0,17-01-2021
437,5,Just wow!,Using the product for 8 months...and its best in priceREAD MORE,0,0,17-01-2021
438,4,Wonderful,Verry good bedREAD MORE,0,0,17-01-2021
439,5,Super!,must buyREAD MORE,0,0,17-01-2021
440,3,Does the job,"Matress not available, ulter size bedREAD MORE",0,0,17-01-2021
441,5,Simply awesome,Very niceREAD MORE,0,0,17-01-2021
442,4,Worth every penny,"Excellent Cot installation, done very fast.Happy to Purchase produxts from flipkart and installation and service is Good.READ MORE",0,0,17-01-2021
443,4,Expected a better product,"Single time use only, if you change house.READ MORE",0,0,17-01-2021
444,3,Simply awesome,niceREAD MORE,0,0,17-01-2021
445,3,Just okay,Bed is look good but some part are very thinREAD MORE,0,0,17-01-2021
446,4,Simply awesome,Nice and spacious bed. Value for money. Looks sturdy.READ MORE,0,0,17-01-2021
447,5,Hated it!,VERY VERY BAD QUALITY NOT EXPECTED FROM FLIP KART VERIFIED PRODUCT. THE WOOD HAS STARTED OPENING FROM INSIDE.BAD DECISION TO BUY THE PRODUCT. :(READ MORE,0,0,17-01-2021
448,3,Wonderful,Good value of moneyREAD MORE,0,0,17-01-2021
449,5,Decent product,Just okREAD MORE,0,0,17-01-2021
450,5,Simply awesome,"The bed is nice but a little bit costly,and height is very lessREAD MORE",0,0,17-01-2021
451,5,Very Good,Nice productREAD MORE,0,0,17-01-2021
452,3,Mind-blowing purchase,Very very goodREAD MORE,0,0,17-01-2021
453,3,Just okay,"A good looking good with nice finishing, worth for the price. But quality of cot could have been improved, not too sturdy and may not be durable looking at the quality of the materials usedREAD MORE",0,0,17-01-2021
454,5,Excellent,Installation guy is very friendly and professional. Installed bed perfectly and on time. Quality of bed is superb.READ MORE,0,0,17-01-2021
455,4,Decent product,"The quality is of wood is not that much good , overall it's okREAD MORE",0,0,17-12-2020
456,4,Nice product,goodREAD MORE,0,0,17-12-2020
457,4,Simply awesome,Good delivery experience with on time and courteous service.thanksREAD MORE,0,0,17-12-2020
458,5,Moderate,This will not last even few daysREAD MORE,0,0,17-12-2020
459,5,Decent product,"The bed height is very low. In order to keep your belongings under the bed, u have to cover it with something from the side as under the bed, the ply which is placed leave some tiny spaces from the side. The quality of the wood is ok but if you expect it to be very good then it is not. I think with normal usage it should last for about 5-6 years. Even though the packaging was good, i found some small amount of scratches in the wood. If you are definitely on a tight budget then the product jus...READ MORE",0,0,17-12-2020
460,5,Super!,cot is awesomeREAD MORE,0,0,17-12-2020
461,3,Great product,Worthy prodectREAD MORE,0,0,17-12-2020
462,5,Worth every penny,GoodREAD MORE,0,0,17-12-2020
463,5,Horrible,Worst experience to buy this bed...quality not complete my expectations....guys do not buy thisREAD MORE,0,0,17-12-2020
464,5,Good choice,Wonderful product for the price.READ MORE,0,0,17-12-2020
465,5,Classy product,Product and Installation very good .READ MORE,0,0,17-12-2020
466,5,Horrible,Fungus will come in cot during winter. And shifting is very difficult. Looks wood quality is not good.READ MORE,0,0,17-12-2020
467,5,Good,Bed is just OK not very good quality is not good just okREAD MORE,0,0,17-12-2020
468,5,Perfect product!,NiceREAD MORE,0,0,17-12-2020
469,5,Fair,Good. But it's edges are very sharpREAD MORE,0,0,17-12-2020
470,5,Good choice,Very Nyc good Installation .READ MORE,0,0,17-12-2020
471,4,Perfect product!,Best product flipkartREAD MORE,0,0,17-12-2020
472,4,Terrific purchase,Fantabulous product....i loved itREAD MORE,0,0,17-12-2020
473,4,Perfect product!,Best in low budgetREAD MORE,0,0,17-12-2020
474,4,Perfect product!,Nice product value for moneyREAD MORE,0,0,17-12-2020
475,4,Good choice,Completely super productREAD MORE,0,0,17-12-2020
476,5,Terrific,Good product best for the price range! Good jobREAD MORE,0,0,17-12-2020
477,5,Wonderful,Good at this price but strength should be improved.READ MORE,0,0,17-12-2020
478,5,Expected a better product,AverageREAD MORE,0,0,17-12-2020
479,5,Horrible,"Worst product, worst quality.Flipkart people at helpdesk merely paid lip service of offering help but except for beating about the bushes no positive action came forth. I wasted my money buying this opus engineered wood bed and also wasted my 6 days time talking to the Flipkart people.Very sad and dissatisfied with the product, the seller as well as with Flipkart people.READ MORE",0,0,17-12-2020
480,5,Awesome,Perfect choiceREAD MORE,0,0,17-12-2020
481,5,Awesome,GoodREAD MORE,0,0,17-12-2020
482,5,Really Nice,During delivery the bed had many scratches and colour was damaged! Product is fine for the money . The head side wood is extremely thin so we have a doubt regarding the durability ...READ MORE,0,0,17-12-2020
483,3,Just okay,GoodREAD MORE,0,0,17-12-2020
484,5,Don't waste your money,Quality is not good. Wast of moneyREAD MORE,0,0,17-12-2020
485,5,Worth every penny,"Nice product, we are enjoying.READ MORE",0,0,17-12-2020
486,5,Did not meet expectations,..So bad don't. Buy quality is so poor don't investment on this product.. ????READ MORE,0,0,17-12-2020
487,4,Great product,Good productREAD MORE,0,0,17-12-2020
488,4,Not good,"1.This bed is suitable only for large rooms with lots of extra space.2. Secondly, this bed doesnot have legs or support and hence whole weight of the body rests on its edges which shortens its longevity.3. The bases of the boxes ( for storage) are not fixed and rest directly on the room floor . Hence insects may crawl inside the boxes from room floor surface. INSECURE!4. Bed Height is very low. WE CAN'T  EVEN USE BED RISERS TO INCREASE ITS HEIGHT AS THERE ARE NO LEGS OR ANY EXTRA SUPPORT W...READ MORE",0,0,17-12-2020
489,4,Must buy!,VERY NICEREAD MORE,0,0,17-12-2020
490,5,Best in the market!,Thanks to flipkart...READ MORE,0,0,17-12-2020
491,5,Useless product,Its not good & noicingREAD MORE,0,0,17-12-2020
492,5,Simply awesome,As expected. Great installation support!READ MORE,0,0,17-12-2020
493,4,Expected a better product,Very bad??READ MORE,0,0,17-12-2020
494,5,Waste of money!,Worst qualityREAD MORE,0,0,17-12-2020
495,4,Value-for-money,Good product at reasonable price but the thing is while assembling the product it is too complicatedREAD MORE,0,0,17-12-2020
496,4,Excellent,Nice bed for kids in low budget worth every pennyREAD MORE,0,0,17-12-2020
497,4,Wonderful,Well furnished bedREAD MORE,0,0,17-12-2020
498,5,Must buy!,Happy with the purchaseREAD MORE,0,0,17-12-2020
499,4,Highly recommended,Cool product on very affordable price should buyREAD MORE,0,0,17-12-2020
500,4,Terrific,NiceREAD MORE,0,0,17-12-2020
501,5,Super!,Its very good n comfertREAD MORE,0,0,17-12-2020
502,5,Good choice,GoodREAD MORE,0,0,17-12-2020
503,4,Great product,Super and worth for moneyREAD MORE,0,0,17-12-2020
504,5,Did not meet expectations,Bad qualityREAD MORE,0,0,17-12-2020
505,5,Very poor,Product is not goodREAD MORE,0,0,17-12-2020
506,5,Value-for-money,I am very happy?? thanks FlipkartREAD MORE,0,0,17-12-2020
507,4,Wonderful,"Perfect for two people, good design, quality just concerned about durability expected to last at least 3 yearsREAD MORE",0,0,17-12-2020
508,5,Nice,"The box does not have a bottom plywood sheet fixed to the frame. Rather, while installing the plywood sheets of the boxes are just placed on the floor. This is quite absurd as the items stored in the box will be prone to infestation by cockroaches and other insects. How did the person design such a furniture?READ MORE",0,0,17-12-2020
509,3,Just wow!,Good productREAD MORE,0,0,17-12-2020
510,3,Just okay,By seeing this product we thought it'll be good and strong. But the product is of low quality. Maintenance is required. If we mistakenly poured water then it's gone. And it makes itch itch sound. Won't think it'll last long.READ MORE,0,0,17-12-2020
511,5,Awesome,"Good and instant delivery on time, considered for further ordersREAD MORE",0,0,17-12-2020
512,4,Perfect product!,"I spent 8k for this, and this is value for money.READ MORE",0,0,17-12-2020
513,4,Good quality product,Not Good and Not badREAD MORE,0,0,17-12-2020
514,4,Worth the money,This bed is Totally worth the value for the money for the money spent .. anyone willing to buy a bed at a very low budget you can undoubtedly go for this bed .READ MORE,0,0,17-12-2020
515,3,Must buy!,"It is a wonderful item at this price in all the areas like look-wise, design and strength. It is quite reasonable strong too. The installation guy has done a perfect job. I am using it with 5"" mattress , giving awesome feelings. yes, if you have to relocate then of course call the same kind of  guy who installed it . if you have to move withing same room then vacate all boxes, remove mattress  and move it anti-clock wise or clockwise slowly. see how many times you need to do all these ? so ...READ MORE",0,0,17-12-2020
516,4,Classy product,GoodREAD MORE,0,0,17-12-2020
517,5,Wonderful,"Good until now. Hope it last long. Delivery was on time and got it set on the same day, very quick. Thanks to jeeves.READ MORE",0,0,17-12-2020
518,5,Very Good,SuperREAD MORE,0,0,17-12-2020
519,3,Simply awesome,SatisfiedREAD MORE,0,0,17-12-2020
520,5,Fair,GoodREAD MORE,0,0,17-12-2020
521,5,Best in the market!,I liked the bed design & quaityREAD MORE,0,0,17-12-2020
522,5,Terrific,SuperREAD MORE,0,0,17-12-2020
523,3,Wonderful,Good productREAD MORE,0,0,17-12-2020
524,3,Simply awesome,"For installation and dismental we need to expert only, because of so much screws bolt and attachment,  this is good quality engineered wood, but this is not simple installation.READ MORE",0,0,17-12-2020
525,5,Not recommended at all,Nice product...READ MORE,0,0,17-12-2020
526,5,Worth the money,It's a good buy for the quoted priceREAD MORE,0,0,17-12-2020
527,5,Brilliant,Value for moneyREAD MORE,0,0,17-12-2020
528,5,Mind-blowing purchase,Unbelievable at this costREAD MORE,0,0,17-12-2020
529,4,Best in the market!,Satisfaction and happiness in the work of the wonderful FITTERREAD MORE,0,0,17-12-2020
530,5,Just wow!,"It has good design, look and adds to the beauty of the Room. Elegant stuff!READ MORE",0,0,17-12-2020
531,5,Wonderful,The finish looks good and the service was also very professional.READ MORE,0,0,17-12-2020
532,5,Terrific purchase,Good product... Good service ....... Thank youREAD MORE,0,0,17-12-2020
533,5,Highly recommended,Good to go with??READ MORE,0,0,17-12-2020
534,4,Awesome,"Excellent product,very nice&good finish.READ MORE",0,0,17-12-2020
535,4,Good choice,Velue For MoneyREAD MORE,0,0,17-12-2020
536,3,Brilliant,Bed is good. Suggesting you please buy this bed who have own house or longest living in rented home.Because once install the bed you cannot open joints and cant re-install. Please take good desicion before you buy this.READ MORE,0,0,17-12-2020
537,4,Mind-blowing purchase,Good fixingREAD MORE,0,0,17-12-2020
538,5,Good,It is very weakREAD MORE,0,0,17-12-2020
539,5,Mind-blowing purchase,Excellent product ??????READ MORE,0,0,17-12-2020
540,4,Wonderful,Stylish looking bed. Delivered on time and installed for free within an hour. Installation guys were prompt and knew their thing. Hope it lasts long.READ MORE,0,0,17-12-2020
541,5,Pretty good,Value for money...and good design finishedREAD MORE,0,0,17-12-2020
542,5,Not recommended at all,This is very delicate. I don't want this product.please cancel this order.READ MORE,0,0,17-12-2020
543,4,Hated it!,Bed average.no installationREAD MORE,0,0,17-12-2020
544,4,Just wow!,Perfect in this price ??READ MORE,0,0,17-12-2020
545,5,Bad quality,"Thickness of wood is less than 10 mm  screws and nails are not given sufficient,overall average - -,READ MORE",0,0,17-12-2020
546,5,Good,"Average, value for moneyREAD MORE",0,0,17-12-2020
547,3,Must buy!,Always goodREAD MORE,0,0,17-12-2020
548,5,Value-for-money,Good product satisfiedREAD MORE,0,0,17-12-2020
549,4,Pretty good,Go for solid wood yaarREAD MORE,0,0,17-12-2020
550,5,Good,Product is good but installation was very difficult because Jeeves engineer didn't come for installation.READ MORE,0,0,17-12-2020
551,5,economy price,product is worth for that moneyREAD MORE,0,0,17-12-2020
552,4,Good quality product,Good looking bed..may be legs part if you are providing better option then its become perfectREAD MORE,0,0,17-12-2020
553,5,Terrible product,"Complete disappointment with the installation guy ,worst behaviour and not at all supportive. Product is normal not super.READ MORE",0,0,17-12-2020
554,5,Classy product,Very goodREAD MORE,0,0,17-12-2020
555,5,Decent product,Very sharp edges and not at all comfortable.READ MORE,0,0,17-11-2020
556,5,Mind-blowing purchase,The best ever purchase of mine from.flipkart. thanks Flipkart and teamREAD MORE,0,0,17-11-2020
557,5,Expected a better product,"Not so good,  but we can't expect more from engineering woodREAD MORE",0,0,17-11-2020
558,4,Slightly disappointed,Poor quality productsREAD MORE,0,0,17-11-2020
559,5,Wonderful,SuperREAD MORE,0,0,17-11-2020
560,5,Super!,The guys who installed the bed Were very polite and the product is very amazingREAD MORE,0,0,17-11-2020
561,3,Does the job,GoodREAD MORE,0,0,17-11-2020
562,5,Horrible,This product quality is very poor.READ MORE,0,0,17-11-2020
563,4,Good,Not sooo good.....avg productREAD MORE,0,0,17-11-2020
564,5,Wonderful,"The product is really good as of now. But not intended for rough use. Also, it is not recommended to dismantle the product and carry to another place because it may not have the same toughness as before. The product is intended tobuse for a permanent house for a shorter lufe span. However, overall the item is of good qualityREAD MORE",0,0,17-11-2020
565,3,Value-for-money,Nice.. Looking fancyREAD MORE,0,0,17-11-2020
566,5,Wonderful,NiceREAD MORE,0,0,17-11-2020
567,4,Worth the money,OkayREAD MORE,0,0,17-11-2020
568,4,Best in the market!,Good productREAD MORE,0,0,17-11-2020
569,5,Wonderful,Excellent product ..nice design..installed by excellent team..loved ??READ MORE,0,0,17-11-2020
570,5,Highly recommended,Awesome productREAD MORE,0,0,17-11-2020
571,3,Slightly disappointed,Don't buy very weak bed. Durability upto 4-5 years only. Installation person is good. Pay more and buy from outside.READ MORE,0,0,17-11-2020
572,4,Fair,Not much satisfied. According to the price it is kind of ok types.something or the other is missing in the item..either product gets damage. Or some nut bold wil be missing.. 3 times i have returned this product.even after that nut and bold was missing and I had to pay extra 500 to installation guy for that chargesREAD MORE,0,0,17-11-2020
573,5,Fabulous!,Nice productREAD MORE,0,0,17-11-2020
574,5,Mind-blowing purchase,Look at good but quality is very bad weak productREAD MORE,0,0,17-11-2020
575,3,Awesome,Very nice purchasing in the market.READ MORE,0,0,17-11-2020
576,4,Terrific purchase,Totally good... Worth of moneyREAD MORE,0,0,17-11-2020
577,4,Very poor,Very poor quality particle board used to make this bed. After buying this i feel guilty seeing the wood quality.READ MORE,0,0,17-11-2020
578,4,Mind-blowing purchase,GdREAD MORE,0,0,17-11-2020
579,3,Super!,Very good quality productREAD MORE,0,0,17-11-2020
580,5,Excellent,Not badREAD MORE,0,0,17-11-2020
581,5,Super!,Good Product Heavy worth for moneyREAD MORE,0,0,17-11-2020
582,5,Mind-blowing purchase,Good productREAD MORE,0,0,17-11-2020
583,5,Worth the money,It's good and nice to seeREAD MORE,0,0,17-11-2020
584,5,Pretty good,Bed is very good I really liked it as I got it for only 8k in bbds but I got little disappointed because there were some small scratches on it.READ MORE,0,0,17-11-2020
585,3,Value-for-money,"Nice product, value for money.READ MORE",0,0,17-11-2020
586,3,Really Nice,Quality is not up to mark but as compare to pricing its a good product if you are not shifting much.READ MORE,0,0,17-11-2020
587,5,Worth the money,Average productREAD MORE,0,0,17-11-2020
588,5,Terrific purchase,ExcellentREAD MORE,0,0,17-11-2020
589,4,Highly recommended,Looks good.  Fast delivery and same day installation done by carpenters ... Really flipkart had responsible employees.... Thank you all...READ MORE,0,0,17-11-2020
590,5,Brilliant,Verry goodREAD MORE,0,0,17-11-2020
591,3,Brilliant,really im so happy by seeing this cot.its to good with this price.READ MORE,0,0,17-11-2020
592,5,Mind-blowing purchase,It was nice and strong the storage space are gudREAD MORE,0,0,17-11-2020
593,4,Great product,Good service nd material is goodREAD MORE,0,0,17-11-2020
594,5,Unsatisfactory,This should be handled with the care There is no gap between the surface and the bedAtleast should be given bushes.READ MORE,0,0,17-11-2020
595,5,Worth every penny,Value for moneyREAD MORE,0,0,17-11-2020
596,4,Nice,Its averageREAD MORE,0,0,17-11-2020
597,3,Wonderful,I am happy with product. Its all upto you how you maintain this. Avoid water and don't use without mattress.READ MORE,0,0,17-11-2020
598,5,Simply awesome,GOODREAD MORE,0,0,17-11-2020
599,5,Hated it!,"Installation  very bad, and product one piece rang do not fitREAD MORE",0,0,17-11-2020
600,5,Must buy!,"Very much happy with the product. Timely delivered, and timely installation by Jeeves. Person sent from Jeeves was very humble and installed the product without any hassle.Only catch is that product is very heavy and cannot be single handedly delivered by Flipkart. You might need to give them a hand to get it shifted inside your houseREAD MORE",0,0,17-11-2020
601,5,Worth the money,Overall good but we should take care of the bed that there was no direct contact with water.I was bought King size bed in big billion days @ 11990 /- in this price it is a good product. Go for it.READ MORE,0,0,17-11-2020
602,5,Very Good,Nice bed at a good rateGot in BBD .Two persons can sleep easilyQuality is goodInstallation team is also good and can b purchasedREAD MORE,0,0,17-11-2020
603,5,Moderate,Installation was not up to the mark it's getting delayed. Overall service good nd satisfied with this productREAD MORE,0,0,17-11-2020
604,5,Useless product,Very bad qualityREAD MORE,0,0,17-11-2020
605,5,Good choice,Delivery people were very good. Installation people one was bad one was good. He lack positive attitude. I recommend to employ solution orientated to people.Although product looks good. Lets see how it goes in long run.READ MORE,0,0,17-11-2020
606,5,Absolute rubbish!,not up to the mark .. plz don't buyREAD MORE,0,0,17-11-2020
607,5,Fabulous!,"This queen size bed is best in this price rangeGo for it. Spacious for 2 people.Has sections to keep your regular use things, it's also durable I was skeptical about this while purchasing.Only issue is it's height further you can't increase the height also because of the structure.READ MORE",0,0,17-11-2020
608,4,Worthless,I think you need to improve the installation part.The guy who came just did not install the bed properly.READ MORE,0,0,17-11-2020
609,4,Must buy!,NiceREAD MORE,0,0,17-11-2020
610,5,Classy product,Best priceREAD MORE,0,0,17-11-2020
611,5,Nice product,Good product this priceREAD MORE,0,0,17-11-2020
612,4,Highly recommended,Sturdy Bed....worth the priceREAD MORE,0,0,17-11-2020
613,5,Pretty good,goodREAD MORE,0,0,17-11-2020
614,5,Really Nice,Good looking but the wood quality is not goodREAD MORE,0,0,17-11-2020
615,4,Pretty good,Must recommendREAD MORE,0,0,17-11-2020
616,5,Excellent,"reasonable price as per the product, good quality, spacious and the best part is the hinges doesn't make any sound.READ MORE",0,0,17-11-2020
617,5,Wonderful,GoodREAD MORE,0,0,17-11-2020
618,5,Worth the money,"Good Product, value for money... But bed is very low..READ MORE",0,0,17-11-2020
619,4,Waste of money!,Worst productREAD MORE,0,0,17-11-2020
620,5,Terrific purchase,Guys really worth for money.. blindly go for it...my honest review..only problem is dismantling..while shifting house.. otherwise it's awesomeREAD MORE,0,0,17-11-2020
621,4,Just wow!,Nice productREAD MORE,0,0,17-11-2020
622,4,Wonderful,It's ok type bed with budget price.READ MORE,0,0,17-11-2020
623,5,Awesome,Nice superb bedREAD MORE,0,0,17-11-2020
624,5,Moderate,Not strong enoughREAD MORE,0,0,17-11-2020
625,5,Terrific purchase,NiceREAD MORE,0,0,17-11-2020
626,4,Super!,Installation team are very good... well behavedREAD MORE,0,0,17-11-2020
627,3,Worth the money,GoodREAD MORE,0,0,17-11-2020
628,5,Just wow!,Very satisfied with the product .. excellent job by the installation team . Very prompt service.READ MORE,0,0,17-11-2020
629,5,Nice,Hight is very down and durability is normalREAD MORE,0,0,17-11-2020
630,4,Nice,Somewhat ok that's it...prefer to take out...I don't have any option so takenREAD MORE,0,0,17-11-2020
631,5,Excellent,I loved this product the colour is same as ordered and quality is also good. Value for money.READ MORE,0,0,17-11-2020
632,5,Delightful,Product is good..but should have hydraulic opening for storageREAD MORE,0,0,17-11-2020
633,3,Good quality product,Nice quality I mean I'm happyREAD MORE,0,0,17-11-2020
634,5,Good quality product,Super service from delivery person his exlient doing the job thank you.READ MORE,0,0,17-11-2020
635,4,Nice,"Value for money , installation satisfied.READ MORE",0,0,17-11-2020
636,5,Expected a better product,Design is good but very delicate. Can't use like a proper double cot like jumping. Good for decent use.READ MORE,0,0,17-11-2020
637,5,Delightful,Very nice ??READ MORE,0,0,17-11-2020
638,5,Perfect product!,Nice one but the hight is not goodREAD MORE,0,0,17-11-2020
639,5,Awesome,Product is very good & installation is Very goodREAD MORE,0,0,17-11-2020
640,5,Fair,Bed good but not good quality bad values for money.READ MORE,0,0,17-11-2020
641,5,Excellent,Product is looking very nice and material is so goodI'm satisfied for this purchaseREAD MORE,0,0,17-11-2020
642,5,Simply awesome,"Nice ???? product, instalation team can be more co operativeREAD MORE",0,0,17-11-2020
643,5,Perfect product!,Very good product ?? this is strong ??  And value of money. This is a very very very very good bed And Go For it and Quality is ?? present Good And thanks to Flipkart And JeevesREAD MORE,0,0,17-11-2020
644,5,Does the job,This project not properly removed. One time installed not possible other Locations.READ MORE,0,0,17-11-2020
645,5,Does the job,Installation person who come over to install the bed had stolen our screw driver and charged extra for putting shoe in the bed. They are not well trained. One of the head cover is fitted well. Otherwise I would have given full rating.READ MORE,0,0,17-11-2020
646,4,Useless product,For 3 to 4yrs it's perfectREAD MORE,0,0,17-11-2020
647,4,Terrific,Height is too short.READ MORE,0,0,17-11-2020
648,5,Excellent,The product is awesome. Delivery done before 2 days and installation done on the same day. Instalation team was so supportive and told us all the guidelines to use long term with safetyREAD MORE,0,0,17-11-2020
649,5,Worth every penny,Very good product.READ MORE,0,0,17-11-2020
650,5,Super!,Good fittingREAD MORE,0,0,17-11-2020
651,5,Good quality product,Overall good as per money investment. Quality and finishing is satisfied. Purchable. Only height of bed should be more otherwise it's good.  The buffer on each ply should provide because all ply of bed is puted on floor.Overall value for money ****READ MORE,0,0,17-11-2020
652,5,Horrible,"Don't buy, don't waste your money.READ MORE",0,0,17-11-2020
653,4,Fabulous!,Good frodectREAD MORE,0,0,17-11-2020
654,5,Moderate,Some part damagedREAD MORE,0,0,17-11-2020
655,5,Brilliant,Bed quality is good at this price... I love this bedREAD MORE,0,0,17-11-2020
656,4,Excellent,GoodREAD MORE,0,0,17-11-2020
657,4,good purchase,its a good product in this price rangeREAD MORE,0,0,17-11-2020
658,5,Really Nice,Installation completedREAD MORE,0,0,17-11-2020
659,3,Horrible,The look of the product is ok but the quality of the wood is not upto mark.It is not suit for high  moisture floor it will affect with fungus within three month I also have the same issue within three month my bed was totally afeect with mildew. And it will not cover under warranty when we raise a complaint. The service support was very bad frome Flipkart.READ MORE,0,0,17-11-2020
660,5,Good quality product,SuperREAD MORE,0,0,17-11-2020
661,5,Fair,"Product is ok but installation was disappointing , firstly they showed me a board which had no holes for screws I paid them to get it done outside however they should have done it on their own and should have dealt with flipkart later.Second thing ,it can be seen in the image ,there is gap between the overhead storage and the remaining bed.So .. overall flipkart needs to issue strict guidelines to installation teams .READ MORE",0,0,17-11-2020
662,5,Very Good,Supar.READ MORE,0,0,17-11-2020
663,5,Fabulous!,Nice product i really love it??READ MORE,0,0,17-11-2020
664,5,Highly recommended,Installation was very good....READ MORE,0,0,17-11-2020
665,5,Nice product,Good productREAD MORE,0,0,17-11-2020
666,5,Must buy!,Product reached my house as per schedule. The technician was punctual and work know in person. I'm very much satisfied with the product.READ MORE,0,0,17-11-2020
667,5,Brilliant,This bed is fabulous..??READ MORE,0,0,17-11-2020
668,5,Delightful,Good quality.. Delivery  service also good ????READ MORE,0,0,17-11-2020
669,5,Very poor,It is a very fragile piece of furniture..Not good for long term use. Also faced lot of issues while shifting as FK doesn't provide dismantling and re assembling service. This may be good if you want to use it for 6 months. Cons 1. Very fragile 2. Quality of the furniture is not up to the markREAD MORE,0,0,17-11-2020
